"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GiB of Memory per vCPU","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Availability Zones","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Linux Spot Maximum cost","RHEL On Demand cost","RHEL Reserved cost","RHEL Spot Minimum cost","RHEL Spot Maximum cost","SLES On Demand cost","SLES Reserved cost","SLES Spot Minimum cost","SLES Spot Maximum cost","Windows On Demand cost","Windows Reserved cost","Windows Spot Minimum cost","Windows Spot Maximum cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"G3 Graphics GPU Quadruple Extra Large","g3.4xlarge","122.0 GiB","58 units","16 vCPUs","7.62 GiB/vCPU","1","NVIDIA Tesla M60","8 GiB","5.2","0","3.625 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 Mbps","20000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","use1-az2, use1-az3, use1-az4, use1-az6","$1.14 hourly","$0.7781 hourly","$0.342000 hourly","$0.342000 hourly","$1.27 hourly","$0.9081 hourly","$0.472000 hourly","$0.472000 hourly","$1.24 hourly","$0.8111 hourly","$0.442000 hourly","$0.442000 hourly","$1.876 hourly","$1.5141 hourly","$1.078000 hourly","$1.078000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"R6I 12xlarge","r6i.12xlarge","384.0 GiB","0 units","48 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon 8375C (Ice Lake)","3.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","18.75 Gigabit","15000.0 Mbps","1875.0 Mbps","60000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$3.024 hourly","$2.00038 hourly","$0.921900 hourly","$1.159700 hourly","$3.154 hourly","$2.13038 hourly","$1.051900 hourly","$1.289700 hourly","$3.174 hourly","$2.06038 hourly","$1.071900 hourly","$1.309700 hourly","$5.232 hourly","$4.20838 hourly","$3.105800 hourly","$3.105800 hourly","$6.0432 hourly","$5.01958 hourly","$10.992 hourly","$9.96838 hourly","$23.232 hourly","$22.20838 hourly","$3.8352 hourly","$2.81158 hourly","$8.784 hourly","$7.76038 hourly","$21.024 hourly","$20.00038 hourly","0","unavailable"
"X2IEDN 16xlarge","x2iedn.16xlarge","2048.0 GiB","0 units","64 vCPUs","32.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Scalable (Icelake)","3.5 GHz","Yes","Yes","Yes","Yes","1900 GB                 NVMe SSD","Yes","Yes","64-bit","50 Gigabit","40000.0 Mbps","5000.0 Mbps","130000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$13.338 hourly","$8.20687 hourly","$4.001400 hourly","$13.338000 hourly","$13.468 hourly","$8.33687 hourly","$4.131400 hourly","$13.468000 hourly","$13.488 hourly","$8.26687 hourly","$4.151400 hourly","$13.488000 hourly","$16.282 hourly","$11.15087 hourly","$6.945400 hourly","$16.282000 hourly","$17.3636 hourly","$12.23247 hourly","$23.962 hourly","$18.83087 hourly","$40.282 hourly","$35.15087 hourly","$14.4196 hourly","$9.28847 hourly","$21.018 hourly","$15.88687 hourly","$37.338 hourly","$32.20687 hourly","0","unavailable"
"H1 Double Extra Large","h1.2xlarge","32.0 GiB","31 units","8 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","3.875 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","2000 GB                 HDD","Yes","N/A","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.75 Mbps","12000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","use1-az2, use1-az4, use1-az5, use1-az6","$0.468 hourly","$0.318 hourly","$0.140400 hourly","$0.140400 hourly","$0.633 hourly","$0.48 hourly","$0.270400 hourly","$0.270400 hourly","$0.568 hourly","$0.351 hourly","$0.240400 hourly","$0.240400 hourly","$0.836 hourly","$0.686 hourly","$0.508400 hourly","$0.508400 hourly","$0.971 hourly","$0.821 hourly","$1.796 hourly","$1.646 hourly","$3.836 hourly","$3.686 hourly","$0.603 hourly","$0.453 hourly","$1.428 hourly","$1.278 hourly","$3.468 hourly","$3.318 hourly","0","$0.117 hourly"
"M4 General Purpose 16xlarge","m4.16xlarge","256.0 GiB","188 units","64 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.4 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","10000.0 Mbps","1250.0 Mbps","65000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$3.2 hourly","$1.9824 hourly","$1.057800 hourly","$1.428600 hourly","$3.33 hourly","$2.1124 hourly","$1.187800 hourly","$1.558600 hourly","$3.3 hourly","$2.0154 hourly","$1.157800 hourly","$1.528600 hourly","$6.144 hourly","$4.9264 hourly","$3.980400 hourly","$4.061000 hourly","$7.331 hourly","$5.518 hourly","$13.824 hourly","$12.6064 hourly","$30.144 hourly","$28.9264 hourly","$4.2816 hourly","$3.064 hourly","$10.88 hourly","$9.6624 hourly","$27.2 hourly","$25.9824 hourly","0","$0.270 hourly"
"M5ZN 6xlarge","m5zn.6xlarge","96.0 GiB","0 units","24 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8252","4.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","50 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.982 hourly","$1.2487 hourly","$0.408100 hourly","$0.497400 hourly","$2.147 hourly","$1.4107 hourly","$0.538100 hourly","$0.627400 hourly","$2.132 hourly","$1.3087 hourly","$0.558100 hourly","$0.647400 hourly","$3.086 hourly","$2.3527 hourly","$1.512100 hourly","$1.512100 hourly","$3.4916 hourly","$2.7583 hourly","$5.966 hourly","$5.2327 hourly","$12.086 hourly","$11.3527 hourly","$2.3876 hourly","$1.6543 hourly","$4.862 hourly","$4.1287 hourly","$10.982 hourly","$10.2487 hourly","0","unavailable"
"X1E Eight Extra Large","x1e.8xlarge","976.0 GiB","91 units","32 vCPUs","30.50 GiB/vCPU","0","None","0 GiB","0","0","2.844 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","Yes","Yes","unknown","unknown","960 GB                 SSD","Yes","No","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 Mbps","20000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az4, use1-az6","$6.672 hourly","$4.112 hourly","$2.001600 hourly","$2.001600 hourly","$6.802 hourly","$4.242 hourly","$2.131600 hourly","$2.131600 hourly","$6.772 hourly","$4.145 hourly","$2.101600 hourly","$2.101600 hourly","$8.144 hourly","$5.584 hourly","$3.473600 hourly","$3.473600 hourly","$8.685 hourly","$6.124 hourly","$11.984 hourly","$9.424 hourly","$20.144 hourly","$17.584 hourly","$7.213 hourly","$4.652 hourly","$10.512 hourly","$7.952 hourly","$18.672 hourly","$16.112 hourly","0","unavailable"
"D3EN 6xlarge","d3en.6xlarge","96.0 GiB","0 units","24 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","Yes","Yes","Yes","Yes","167760 GB                 (12 * 13980 GB HDD)","Yes","N/A","64-bit","40 Gigabit","N/A","0 Mbps","0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$3.154 hourly","$1.987 hourly","$0.946200 hourly","$0.946200 hourly","$3.319 hourly","$2.149 hourly","$1.076200 hourly","$1.076200 hourly","$3.304 hourly","$2.047 hourly","$1.096200 hourly","$1.096200 hourly","$4.258 hourly","$3.091 hourly","$2.050200 hourly","$2.050200 hourly","$4.664 hourly","$3.497 hourly","$7.138 hourly","$5.971 hourly","$13.258 hourly","$12.091 hourly","$3.56 hourly","$2.393 hourly","$6.034 hourly","$4.867 hourly","$12.154 hourly","$10.987 hourly","unavailable","unavailable"
"R5 Extra Large","r5.xlarge","32.0 GiB","19 units","4 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","4.75 units","Intel Xeon Platinum 8175 (Skylake)","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.252 hourly","$0.159 hourly","$0.091700 hourly","$0.112400 hourly","$0.312 hourly","$0.219 hourly","$0.151700 hourly","$0.172400 hourly","$0.377 hourly","$0.209 hourly","$0.216700 hourly","$0.237400 hourly","$0.436 hourly","$0.343 hourly","$0.255300 hourly","$0.255300 hourly","$0.504 hourly","$0.41 hourly","$0.916 hourly","$0.823 hourly","$1.936 hourly","$1.843 hourly","$0.32 hourly","$0.226 hourly","$0.732 hourly","$0.639 hourly","$1.752 hourly","$1.659 hourly","0","$0.063 hourly"
"C5 High-CPU Metal","c5d.metal","192.0 GiB","375 units","96 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","3.906 units","Intel Xeon Platinum 8275L","3 GHz","Yes","Yes","Yes","Yes","3600 GB                 (4 * 900 GB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az4, use1-az6","$4.608 hourly","$2.903 hourly","$1.624900 hourly","$1.864000 hourly","$4.773 hourly","$3.065 hourly","$1.754900 hourly","$1.994000 hourly","$4.708 hourly","$2.936 hourly","$1.724900 hourly","$1.964000 hourly","$9.024 hourly","$7.319 hourly","$5.970600 hourly","$5.970600 hourly","$10.646 hourly","$8.941 hourly","$20.544 hourly","$18.839 hourly","$45.024 hourly","$43.319 hourly","$6.23 hourly","$4.525 hourly","$16.128 hourly","$14.423 hourly","$40.608 hourly","$38.903 hourly","0","unavailable"
"M5 General Purpose Eight Extra Large","m5d.8xlarge","128.0 GiB","128 units","32 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","4 units","Intel Xeon Platinum 8175 (Skylake)","3.1 GHz","Yes","Yes","Yes","Yes","1200 GB                 (2 * 600 GB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","6800.0 Mbps","850.0 Mbps","30000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.808 hourly","$1.139 hourly","$0.567700 hourly","$0.775000 hourly","$1.938 hourly","$1.269 hourly","$0.697700 hourly","$0.905000 hourly","$1.908 hourly","$1.172 hourly","$0.667700 hourly","$0.875000 hourly","$3.28 hourly","$2.611 hourly","$2.016100 hourly","$2.016100 hourly","$3.821 hourly","$3.152 hourly","$7.12 hourly","$6.451 hourly","$15.28 hourly","$14.611 hourly","$2.349 hourly","$1.68 hourly","$5.648 hourly","$4.979 hourly","$13.808 hourly","$13.139 hourly","0","unavailable"
"R6I Metal","r6i.metal","1024.0 GiB","0 units","128 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon 8375C (Ice Lake)","3.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","50 Gigabit","40000.0 Mbps","5000.0 Mbps","160000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$8.064 hourly","$5.33434 hourly","$2.394100 hourly","$2.394100 hourly","$8.194 hourly","$5.46434 hourly","$2.524100 hourly","$2.524100 hourly","$8.214 hourly","$5.39434 hourly","$2.544100 hourly","$2.544100 hourly","$13.952 hourly","$11.22234 hourly","$8.282100 hourly","$8.282100 hourly","$16.1152 hourly","$13.38554 hourly","$29.312 hourly","$26.58234 hourly","$61.952 hourly","$59.22234 hourly","$10.2272 hourly","$7.49754 hourly","$23.424 hourly","$20.69434 hourly","$56.064 hourly","$53.33434 hourly","0","unavailable"
"M4 General Purpose Extra Large","m4.xlarge","16.0 GiB","13 units","4 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 Mbps","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.2 hourly","$0.1239 hourly","$0.079200 hourly","$0.126300 hourly","$0.295 hourly","$0.2159 hourly","$0.139200 hourly","$0.186300 hourly","$0.3 hourly","$0.1569 hourly","$0.179200 hourly","$0.226300 hourly","$0.384 hourly","$0.3079 hourly","$0.248800 hourly","$0.248800 hourly","$0.439 hourly","$0.346 hourly","$0.864 hourly","$0.7879 hourly","$1.884 hourly","$1.8079 hourly","$0.2676 hourly","$0.1915 hourly","$0.68 hourly","$0.6039 hourly","$1.7 hourly","$1.6239 hourly","$0.00 hourly","$0.060 hourly"
"D2 Extra Large","d2.xlarge","30.5 GiB","14 units","4 vCPUs","7.62 GiB/vCPU","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","unknown","Yes","6000 GB                 (3 * 2000 GB HDD)","Yes","N/A","64-bit","Moderate","750.0 Mbps","93.75 Mbps","6000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.69 hourly","$0.402 hourly","$0.207000 hourly","$0.207000 hourly","$0.785 hourly","$0.454 hourly","$0.267000 hourly","$0.267000 hourly","$0.79 hourly","$0.439 hourly","$0.307000 hourly","$0.307000 hourly","$0.821 hourly","$0.472 hourly","$0.338000 hourly","$0.338000 hourly","unavailable","unavailable","unavailable","unavailable","$2.374 hourly","$2.086 hourly","unavailable","unavailable","unavailable","unavailable","$2.19 hourly","$1.862 hourly","$0.00 hourly","$0.173 hourly"
